,Position,ID,Salary,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
23,SF,11649759,7500,Jimmy Butler,PHI,29,1,1,0,37.2,15,4,11,36.4,1,3,33.3,6,7,85.7,1,2,3,4,4,2,2,4,32.6,0,0,3
24,SF,11649777,7100,Nikola Mirotic,NOP,27,1,1,0,33.8,20,6,12,50.0,3,7,42.9,5,5,100.0,0,10,10,2,1,0,3,2,43.0,1,0,14
25,PF,11649777,7100,Nikola Mirotic,NOP,27,1,1,0,33.8,20,6,12,50.0,3,7,42.9,5,5,100.0,0,10,10,2,1,0,3,2,43.0,1,0,14
26,PG,11649781,7000,Donovan Mitchell,UTA,22,1,1,0,36.0,28,10,21,47.6,5,12,41.7,3,4,75.0,0,3,3,6,3,3,1,2,49.6,0,0,15
27,SG,11649781,7000,Donovan Mitchell,UTA,22,1,1,0,36.0,28,10,21,47.6,5,12,41.7,3,4,75.0,0,3,3,6,3,3,1,2,49.6,0,0,15
28,PF,11649798,6500,Julius Randle,NOP,23,1,1,0,27.4,21,8,13,61.5,0,1,0.0,5,7,71.4,4,6,10,3,1,3,1,3,48.5,1,0,-1
29,C,11649798,6500,Julius Randle,NOP,23,1,1,0,27.4,21,8,13,61.5,0,1,0.0,5,7,71.4,4,6,10,3,1,3,1,3,48.5,1,0,-1
30,PF,11649802,6400,Domantas Sabonis,IND,22,1,1,0,28.5,9,4,7,57.1,0,0,0.0,1,1,100.0,4,12,16,6,1,1,1,4,42.2,0,0,9
31,C,11649802,6400,Domantas Sabonis,IND,22,1,1,0,28.5,9,4,7,57.1,0,0,0.0,1,1,100.0,4,12,16,6,1,1,1,4,42.2,0,0,9
32,PG,11649806,6300,Jamal Murray,DEN,21,1,0,1,28.7,11,4,14,28.6,1,5,20.0,2,2,100.0,0,2,2,6,1,0,1,3,24.4,0,0,-14
33,SG,11649806,6300,Jamal Murray,DEN,21,1,0,1,28.7,11,4,14,28.6,1,5,20.0,2,2,100.0,0,2,2,6,1,0,1,3,24.4,0,0,-14
34,PF,11649810,6200,Paul Millsap,DEN,33,1,0,1,21.8,7,3,8,37.5,0,3,0.0,1,3,33.3,1,0,1,3,1,0,2,3,17.7,0,0,-2
35,C,11649810,6200,Paul Millsap,DEN,33,1,0,1,21.8,7,3,8,37.5,0,3,0.0,1,3,33.3,1,0,1,3,1,0,2,3,17.7,0,0,-2
36,PF,11649817,6100,Serge Ibaka,TOR,29,1,1,0,22.8,16,6,13,46.2,0,1,0.0,4,4,100.0,0,4,4,1,2,2,4,2,38.3,0,0,24
37,C,11649817,6100,Serge Ibaka,TOR,29,1,1,0,22.8,16,6,13,46.2,0,1,0.0,4,4,100.0,0,4,4,1,2,2,4,2,38.3,0,0,24
38,PF,11649821,6100,Al Horford,BOS,32,1,0,1,21.3,9,4,7,57.1,1,4,25.0,0,0,0.0,2,4,6,2,3,1,2,2,25.2,0,0,-13
39,C,11649821,6100,Al Horford,BOS,32,1,0,1,21.3,9,4,7,57.1,1,4,25.0,0,0,0.0,2,4,6,2,3,1,2,2,25.2,0,0,-13
40,SF,11649829,6000,T.J. Warren,PHX,25,1,0,1,40.5,23,10,19,52.6,2,4,50.0,1,2,50.0,1,4,5,1,2,1,1,3,34.5,0,0,-8
41,PF,11649829,6000,T.J. Warren,PHX,25,1,0,1,40.5,23,10,19,52.6,2,4,50.0,1,2,50.0,1,4,5,1,2,1,1,3,34.5,0,0,-8
42,SF,11649843,5900,Jayson Tatum,BOS,20,1,0,1,23.5,10,5,11,45.5,0,2,0.0,0,0,0.0,1,6,7,0,2,0,0,0,16.4,0,0,-13
43,PF,11649843,5900,Jayson Tatum,BOS,20,1,0,1,23.5,10,5,11,45.5,0,2,0.0,0,0,0.0,1,6,7,0,2,0,0,0,16.4,0,0,-13
44,SG,11649847,5900,Buddy Hield,SAC,24,1,0,1,29.7,23,10,17,58.8,3,6,50.0,0,0,0.0,5,2,7,2,2,1,0,3,35.4,0,0,-23
45,SF,11649847,5900,Buddy Hield,SAC,24,1,0,1,29.7,23,10,17,58.8,3,6,50.0,0,0,0.0,5,2,7,2,2,1,0,3,35.4,0,0,-23
46,SG,11649852,5800,Brandon Ingram,LAL,21,1,0,1,33.7,17,7,13,53.8,0,2,0.0,3,4,75.0,0,6,6,7,0,0,0,1,34.7,0,0,-7
47,SF,11649852,5800,Brandon Ingram,LAL,21,1,0,1,33.7,17,7,13,53.8,0,2,0.0,3,4,75.0,0,6,6,7,0,0,0,1,34.7,0,0,-7
48,SG,11649857,5800,Joe Ingles,UTA,31,1,1,0,30.0,7,3,6,50.0,1,4,25.0,0,0,0.0,0,3,3,6,3,0,0,3,16.6,0,0,8
49,SF,11649857,5800,Joe Ingles,UTA,31,1,1,0,30.0,7,3,6,50.0,1,4,25.0,0,0,0.0,0,3,3,6,3,0,0,3,16.6,0,0,8
50,SF,11649866,5700,Jabari Parker,CHI,23,1,0,1,27.3,12,5,14,35.7,2,4,50.0,0,0,0.0,1,5,6,2,3,2,0,3,25.2,0,0,-25
51,PF,11649866,5700,Jabari Parker,CHI,23,1,0,1,27.3,12,5,14,35.7,2,4,50.0,0,0,0.0,1,5,6,2,3,2,0,3,25.2,0,0,-25
52,SG,11649870,5700,Nicolas Batum,CHA,29,1,0,1,19.0,0,0,4,0.0,0,1,0.0,0,0,0.0,1,0,1,4,1,1,1,0,12.2,0,0,-9
53,SF,11649870,5700,Nicolas Batum,CHA,29,1,0,1,19.0,0,0,4,0.0,0,1,0.0,0,0,0.0,1,0,1,4,1,1,1,0,12.2,0,0,-9
54,SF,11649879,5700,Kyle Kuzma,LAL,23,1,0,1,27.2,8,3,10,30.0,1,4,25.0,1,2,50.0,0,6,6,0,5,0,2,2,16.2,0,0,-7
55,PF,11649879,5700,Kyle Kuzma,LAL,23,1,0,1,27.2,8,3,10,30.0,1,4,25.0,1,2,50.0,0,6,6,0,5,0,2,2,16.2,0,0,-7
56,SF,11649875,5700,Marcus Morris,BOS,29,1,0,1,19.8,3,1,7,14.3,0,4,0.0,1,2,50.0,1,1,2,1,1,0,0,2,5.9,0,0,-11
57,PF,11649875,5700,Marcus Morris,BOS,29,1,0,1,19.8,3,1,7,14.3,0,4,0.0,1,2,50.0,1,1,2,1,1,0,0,2,5.9,0,0,-11
58,SF,11649862,5700,Harrison Barnes,DAL,26,1,1,0,36.7,23,7,14,50.0,2,4,50.0,7,11,63.6,1,7,8,1,0,0,0,4,34.1,0,0,14
59,PF,11649862,5700,Harrison Barnes,DAL,26,1,1,0,36.7,23,7,14,50.0,2,4,50.0,7,11,63.6,1,7,8,1,0,0,0,4,34.1,0,0,14
60,SG,11649891,5600,Evan Fournier,ORL,26,1,1,0,33.5,15,6,15,40.0,1,8,12.5,2,3,66.7,1,4,5,4,0,0,0,4,27.0,0,0,8
